Memphis Depay,7.06
Luuk de Jong,6.89
Steven Bergwijn,6.97
Noa Lang,7.07
Wout Weghorst,6.85
Vincent Janssen,7.09
Frenkie de Jong,7.05
Xavi Simons,7.17
Cody Gakpo,7.66
Denzel Dumfries,6.96
Teun Koopmeiners,7.01
Steven Berghuis,7.36
Davy Klaassen,6.8
Kenneth Taylor,7.07
Marten de Roon,6.86
Virgil van Dijk,7.15
Matthijs de Ligt,6.99
Nathan Aké,6.94
Tyrell Malacia,6.92
Stefan de Vrij,6.87
Daley Blind,7.1
Jurriën Timber,6.99
Jeremie Frimpong,6.79
Remko Pasveer,6.82
Justin Bijlow,6.8
Andries Noppert,7.18
Enner Valencia,7.06
Jeremy Sarmiento,6.53
Michael Estrada,6.83
Kevin Rodriguez,6.0
Moisés Caicedo,6.95
Gonzalo Plata,6.88
José Cifuentes,7.01
Ángel Mena,6.83
Carlos Gruezo,6.59
Alan Franco,6.65
Jhegson Méndez,6.71
Romario Ibarra,6.74
Djorkaeff Reasco,6.59
Ayrton Preciado,6.0
Piero Hincapié,6.83
Pervis Estupiñán,6.75
Robert Arboleda,7.08
Jackson Porozo,6.97
Diego Palacios,7.08
Ángelo Preciado,6.74
Félix Torres,6.94
Xavier Arreaga,6.85
William Pacho,6.9
Alexander Domínguez,6.79
Hernán Galíndez,6.96
Moisés Ramírez,7.15
Ismaïla Sarr,6.86
Ahmadou Bamba Dieng,6.71
Krépin Diatta,6.81
Boulaye Dia,6.8
Famara Diédhiou,6.96
Iliman Ndiaye,7.0
Nicolas Jackson,6.72
Idrissa Gueye,6.96
Pape Matar Sarr,6.75
Nampalys Mendy,6.66
Pape Gueye,6.82
Cheikhou Kouyaté,6.82
Mamadou Loum,6.78
Ismaila Ciss,6.82
Ismail Jakobs,6.76
Moustapha Name,7.16
Kalidou Koulibaly,7.1
Abdou Diallo,7.0
Youssouf Sabaly,6.9
Pape Abou Cissé,6.99
Moussa N'Diaye,6.0
Fodé Ballo-Touré,6.8
Formose Mendy,7.29
Edouard Mendy,6.8
Alfred Gomis,6.47
Seny Dieng,6.88
Akram Afif,6.0
Almoez Ali,6.0
Mohammed Muntari,6.0
Ahmed Alaaeldin,6.0
Ismael Mohammed,6.0
Khalid Muneer,6.0
Hassan Al Haydos,6.0
Karim Boudiaf,6.0
Abdelaziz Hatem,6.0
Assim Madibo,6.0
Ali Assadalla,6.0
Mohammed Al Bayati,6.0
Mostafa Mashaal,6.0
Naif Al Hadhrami,6.0
Abdelkarim Hassan,6.0
Pedro Miguel,6.0
Boualem Khoukhi,6.0
Bassam Al-Rawi,6.0
Homam Ahmed,6.0
Tarek Salman,6.0
Salem Al Hajri,6.0
Jassem Gaber Abdulsallam,6.0
Musab Kheder,6.0
Saad Al Sheeb,6.0
Meshaal Aissa Barsham,6.0
Yousef Hassan,6.0
Harry Kane,7.39
Mason Mount,7.28
Raheem Sterling,6.91
Phil Foden,7.27
Jack Grealish,7.06
Callum Wilson,6.92
Marcus Rashford,6.73
Bukayo Saka,7.11
Jude Bellingham,7.24
James Maddison,7.46
Jordan Henderson,6.99
Conor Gallagher,6.88
Declan Rice,7.18
Kalvin Phillips,6.76
Trent Alexander-Arnold,7.46
Harry Maguire,6.99
Luke Shaw,6.95
Kyle Walker,6.8
Kieran Trippier,7.59
John Stones,7.06
Benjamin White,6.95
Eric Dier,6.98
Conor Coady,6.98
Aaron Ramsdale,6.84
Jordan Pickford,6.98
Nick Pope,7.1
Gareth Bale,6.84
Daniel James,6.65
Brennan Johnson,7.01
Kieffer Moore,6.84
Mark Harris,6.59
Aaron Ramsey,7.05
Ethan Ampadu,6.9
Harry Wilson,7.17
Dylan Levitt,7.05
Joe Allen,6.87
Sorba Thomas,6.9
Matthew Smith,6.7
Jonathan Williams,6.92
Rubin Colwill,6.56
Joe Morrell,6.82
Neco Williams,6.95
Ben Davies,6.89
Joe Rodon,6.88
Connor Roberts,6.88
Chris Mepham,6.76
Ben Cabango,6.9
Chris Gunter,6.67
Tom Lockyer,7.05
Danny Ward,6.83
Wayne Hennessey,6.98
Adam Davies,6.0
Christian Pulišić,6.75
Timothy Weah,6.86
Josh Sargent,6.91
Jesús Ferreira,7.24
Haji Wright,7.13
Giovanni Reyna,6.73
Weston McKennie,6.88
Brenden Aaronson,6.72
Tyler Adams,6.87
Yunus Musah,6.77
Luca De La Torre,6.79
Jordan Morris,6.89
Cristian Roldán,7.21
Kellyn Acosta,6.96
Sergiño Dest,6.6
Antonee Robinson,6.92
Joseph Scally,6.63
DeAndre Yedlin,6.63
Cameron Carter-Vickers,7.17
Tim Ream,6.88
Walker Zimmerman,7.1
Shaq Moore,6.9
Aaron Long,6.85
Matt Turner,6.87
Ethan Horvath,6.97
Sean Johnson,6.91
Saleh Al-Shehri,6.64
Firas Al-Buraikan,6.95
Haitham Mohammed Asiri,6.89
Abdulrahman Alobud,6.81
Salem Al-Dawsari,7.31
Salman Al-Faraj,7.35
Mohamed Kanno,6.9
Nawaf Al-Abed,6.92
Sami Al-Najei,6.0
Abdulelah Al Malki,6.0
Abdullah Otayf,6.0
Hattan Bahebri,7.14
Ali Al-Hassan,6.76
Riyadh Sharahili,6.7
Yasir Al-Shahrani,6.97
Saud Abdulhamid,6.93
Mohammed Al-Burayk,6.89
Sultan Al-Ghannam,6.88
Abdulelah Al-Amri,7.06
Ali Al-Boleahi,6.88
Nasser Al-Dawsari,6.88
Hassan Al Tambakti,7.1
Abdullah Madu,6.83
Mohammed Al-Owais,6.82
Mohammed Al Yami,6.81
Nawaf Alaqidi,6.0
Mohammed Al Rubaie,6.0
Robert Lewandowski,7.44
Krzysztof Piątek,6.76
Arkadiusz Milik,6.98
Karol Świderski,7.09
Piotr Zieliński,7.02
Nicola Zalewski,6.73
Grzegorz Krychowiak,6.94
Sebastian Szymański,7.28
Kamil Grosicki,7.08
Krystian Bielik,6.9
Przemysław Frankowski,6.93
Szymon Żurkowski,6.85
Jakub Kamiński,6.72
Jakub Kiwior,6.84
Damian Szymański,7.0
Michał Skóraś,7.06
Matty Cash,6.82
Jan Bednarek,6.93
Kamil Glik,6.95
Bartosz Bereszyński,6.68
Robert Gumny,6.64
Mateusz Wieteska,6.96
Artur Jędrzejczyk,6.85
Wojciech Szczęsny,6.99
Łukasz Skorupski,7.03
Kamil Grabara,7.19
Hirving Lozano,6.95
Raúl Jiménez,6.71
Alexis Vega,7.26
Rogelio Funes Mori,6.91
Henry Martín,7.0
Edson Álvarez,7.07
Héctor Herrera,6.91
Andrés Guardado,6.8
Érick Gutiérrez,6.99
Orbelín Pineda,6.91
Uriel Antuna,7.0
Carlos Rodríguez,6.95
Roberto Alvarado,6.96
Jesús Gallardo,6.98
Luis Romo,6.87
Luis Chávez,7.23
Johan Vásquez,6.74
Jorge Sánchez,6.8
Gerardo Arteaga,6.74
Néstor Araujo,6.82
Héctor Moreno,6.85
César Montes,6.88
Kevin Álvarez,6.97
Guillermo Ochoa,6.9
Alfredo Talavera,6.97
Rodolfo Cota,7.08
Lionel Messi,8.15
Paulo Dybala,7.29
Ángel Di María,7.26
Lautaro Martínez,7.16
Julián Álvarez,7.31
Ángel Correa,6.75
Rodrigo de Paul,7.1
Leandro Paredes,7.01
Enzo Fernández,7.49
Papu Gómez,6.95
Alexis Mac Allister,7.13
Nahuel Molina,6.84
Thiago Almada,7.41
Exequiel Palacios,6.87
Guido Rodríguez,7.17
Lisandro Martínez,7.21
Cristian Romero,7.06
Nicolás Otamendi,7.15
Nicolás Tagliafico,6.98
Juan Foyth,6.83
Marcos Acuña,6.97
Gonzalo Montiel,6.64
Germán Pezzella,6.95
Emiliano Martínez,6.86
Gerónimo Rulli,7.03
Franco Armani,7.05
Kylian Mbappé,7.83
Ousmane Dembélé,7.42
Antoine Griezmann,7.25
Olivier Giroud,7.2
Marcus Thuram,7.09
Randal Kolo Muani,6.95
Eduardo Camavinga,6.87
Aurélien Tchouaméni,7.3
Kingsley Coman,7.13
Adrien Rabiot,7.15
Mattéo Guendouzi,6.98
Jordan Veretout,6.98
Youssouf Fofana,6.84
Raphaël Varane,6.97
Jules Koundé,7.06
Theo Hernández,7.29
Dayot Upamecano,7.04
Ibrahima Konaté,6.93
William Saliba,7.01
Benjamin Pavard,7.23
Lucas Hernández,6.98
Axel Disasi,7.08
Hugo Lloris,6.95
Alphonse Aréola,6.82
Steve Mandanda,6.94
Wahbi Khazri,6.88
Youssef Msakni,6.0
Seifeddine Jaziri,6.68
Taha Yassine Khenissi,6.0
Hannibal Mejbri,6.62
Ellyes Skhiri,6.99
Aissa Laïdouni,7.0
Anis Ben Slimane,6.78
Naïm Sliti,7.0
Ferjani Sassi,6.0
Issam Jebali,7.03
Mohamed Ali Ben Romdhane,7.2
Ali Abdi,7.06
Ghayléne Chaaleli,7.22
Nader Ghandri,6.0
Ali Maâloul,7.31
Montassar Talbi,6.84
Mohamed Dräger,6.81
Dylan Bronn,6.74
Wajdi Kechrida,6.73
Yassine Meriah,6.0
Bilel Ifa,6.78
Mouez Hassen,6.0
Aymen Dahmen,6.0
Bechir Ben Said,6.0
Aymen Mathlouthi,6.0
Bachir Ben Said,6.0
Martin Braithwaite,6.58
Kasper Dolberg,6.73
Andreas Skov Olsen,7.19
Jesper Lindstrøm,6.87
Yussuf Poulsen,6.65
Jonas Wind,7.2
Andreas Cornelius,7.03
Christian Eriksen,7.22
Pierre-Emile Højbjerg,7.22
Mikkel Damsgaard,6.78
Joakim Mæhle,6.74
Thomas Delaney,6.86
Daniel Wass,7.15
Robert Skov,6.96
Mathias Jensen,6.83
Christian Nørgaard,7.08
Andreas Christensen,6.99
Simon Kjær,6.91
Joachim Andersen,6.99
Victor Nelsson,6.87
Alexander Bah,7.0
Rasmus Kristensen,6.97
Jens Stryger Larsen,6.78
Kasper Schmeichel,6.92
Frederik Rønnow,6.94
Oliver Christensen,6.81
Jamie MacLaren,7.05
Marco Tilio,7.12
Mitchell Duke,6.0
Jason Cummings,7.06
Garang Kuol,6.95
Craig Goodwin,7.79
Aaron Mooy,7.0
Awer Mabil,6.72
Ajdin Hrustić,6.74
Mathew Leckie,6.97
Riley McGree,6.85
Jackson Irvine,7.0
Keanu Baccus,6.91
Miloš Degenek,6.81
Harry Souttar,6.0
Aziz Behich,6.61
Nathaniel Atkinson,6.64
Fran Karačić,6.87
Joel King,6.79
Bailey Wright,6.92
Thomas Deng,6.0
Kye Rowles,7.02
Mathew Ryan,6.92
Andrew Redmayne,6.78
Danny Vukovic,6.0
Ansu Fati,6.77
Ferran Torres,6.88
Marco Asensio,7.08
Álvaro Morata,7.01
Dani Olmo,6.98
Pablo Sarabia,7.11
Pedri,7.24
Gavi,6.89
Sergio Busquets,7.21
Rodri,7.35
Marcos Llorente,6.89
Koke,6.83
Carlos Soler,7.14
Nico Williams,6.84
Yéremy Pino,6.81
Hugo Guillamón,6.81
Jordi Alba,7.24
Daniel Carvajal,7.03
Eric García,6.97
Alejandro Balde,6.89
César Azpilicueta,6.94
Aymeric Laporte,7.11
Pau Torres,7.0
Unai Simón,6.86
Robert Sánchez,6.82
David Raya,6.97
Takumi Minamino,7.0
Daichi Kamada,7.01
Junya Ito,7.4
Daizen Maeda,6.83
Takuma Asano,6.73
Ayase Ueda,6.98
Shuto Machino,7.11
Takefusa Kubo,6.91
Kaoru Mitoma,7.06
Ritsu Doan,6.96
Wataru Endo,7.0
Hidemasa Morita,6.82
Ao Tanaka,7.04
Gaku Shibasaki,6.87
Yuki Soma,7.01
Takehiro Tomiyasu,6.83
Ko Itakura,7.09
Maya Yoshida,6.88
Hiroki Ito,6.86
Yuto Nagatomo,6.64
Hiroki Sakai,6.95
Miki Yamane,7.01
Shogo Taniguchi,7.09
Eiji Kawashima,6.0
Daniel Schmidt,7.03
Shuichi Gonda,7.0
Kai Havertz,6.88
Youssoufa Moukoko,6.82
Karim Adeyemi,6.83
Niclas Füllkrug,7.52
Leroy Sané,7.13
Thomas Müller,7.17
Joshua Kimmich,7.77
Serge Gnabry,7.26
Jamal Musiala,7.01
İlkay Gündoğan,7.12
Leon Goretzka,7.09
Julian Brandt,7.1
Mario Götze,7.0
Jonas Hofmann,7.31
David Raum,7.14
Antonio Rüdiger,7.05
Niklas Süle,7.0
Nico Schlotterbeck,7.28
Thilo Kehrer,6.72
Matthias Ginter,7.12
Armel Bella-Kotchap,6.96
Lukas Klostermann,6.83
Christian Günter,6.97
Marc-André ter Stegen,6.88
Manuel Neuer,7.01
Kevin Trapp,6.85
Joel Campbell,6.96
Jewison Bennette,6.75
Anthony Contreras,6.0
Anthony Hernández,6.0
Bryan Ruiz,6.0
Celso Borges,6.0
Brandon Aguilera,6.0
Yeltsin Tejeda,6.0
Johan Venegas,6.0
Gerson Torres,6.0
Daniel Chacón,6.0
Álvaro Zamora,6.0
Youstin Salas,6.0
Roan Wilson,6.0
Alvaro Zamora,6.0
Francisco Calvo,7.02
Óscar Duarte,6.78
Bryan Oviedo,6.76
Ronald Matarrita,6.66
Juan Pablo Vargas,7.09
Kendall Waston,6.0
Keysher Fuller,6.0
Carlos Martínez,6.0
Douglas López,6.0
Keylor Navas,7.06
Patrick Sequeira,6.0
Esteban Alvarado,6.0
Eden Hazard,6.83
Romelu Lukaku,6.88
Dries Mertens,7.04
Charles De Ketelaere,6.93
Michy Batshuayi,6.91
Jeremy Doku,6.92
Leandro Trossard,7.04
Loïs Openda,7.05
Kevin De Bruyne,7.81
Youri Tielemans,7.01
Thorgan Hazard,6.73
Yannick Carrasco,6.85
Axel Witsel,6.93
Leander Dendoncker,6.87
Amadou Onana,6.96
Hans Vanaken,7.18
Thomas Meunier,6.92
Jan Vertonghen,6.97
Toby Alderweireld,7.1
Timothy Castagne,6.86
Arthur Theate,6.8
Zeno Debast,6.89
Thibaut Courtois,7.16
Simon Mignolet,7.12
Koen Casteels,6.98
Mario Pašalić,6.78
Andrej Kramarić,6.86
Marko Livaja,7.5
Bruno Petković,7.07
Ante Budimir,6.79
Luka Modrić,7.17
Mateo Kovačić,6.89
Ivan Perišić,7.21
Marcelo Brozović,7.1
Nikola Vlašić,6.74
Mislav Oršić,7.26
Lovro Majer,7.05
Luka Sučić,7.15
Borna Sosa,7.27
Kristijan Jakić,6.59
Joško Gvardiol,7.0
Dejan Lovren,7.23
Josip Stanišić,6.86
Domagoj Vida,6.96
Josip Juranović,7.15
Borna Barišić,7.06
Martin Erlić,6.94
Josip Šutalo,7.19
Dominik Livaković,6.96
Ivo Grbić,6.7
Ivica Ivušić,6.91
Hakim Ziyech,7.07
Abdessamad Ezzalzouli,6.83
Youssef En-Nesyri,6.71
Sofiane Boufal,7.07
Abderrazak Hamdallah,7.11
Ilias Chair,7.15
Zakaria Aboukhlal,6.69
Walid Cheddira,7.42
Anass Zaroury,6.84
Sofyan Amrabat,6.93
Azzedine Ounahi,6.78
Selim Amallah,6.9
Abdelhamid Sabiri,6.95
Bilal El Khannouss,6.88
Yahya Jabrane,7.17
Achraf Hakimi,6.96
Noussair Mazraoui,7.0
Romain Saïss,6.93
Nayef Aguerd,7.03
Achraf Dari,6.93
Jawad El Yamiq,7.12
Badr Benoun,6.0
Yahia Attiyat Allah,6.96
Bono,6.86
Monir El Kajoui,6.92
Ahmed Reda Tagnaouti,6.9
Jonathan David,6.97
Cyle Larin,6.6
Ike Ugbo,6.64
Lucas Cavallini,6.83
Stephen Eustáquio,7.04
Tajon Buchanan,6.67
Atiba Hutchinson,6.98
Liam Millar,6.81
Ismael Koné,6.81
Junior Hoilett,6.86
Jonathan Osorio,6.99
Samuel Piette,6.77
Liam Fraser,6.0
David Wotherspoon,6.0
Alphonso Davies,7.06
Richie Laryea,6.74
Sam Adekugbe,6.79
Alistair Johnston,6.91
Kamal Miller,6.88
Steven Vitória,6.94
Joel Waterman,6.82
Derek Cornelius,6.86
Milan Borjan,6.79
Dayne St. Clair,6.96
James Pantemis,6.81
Neymar,7.69
Vinícius Júnior,7.17
Gabriel Jesus,7.11
Rodrygo,7.1
Richarlison,7.1
Pedro,7.08
Casemiro,7.28
Raphinha,7.05
Antony,7.42
Lucas Paquetá,7.09
Gabriel Martinelli,6.94
Fabinho,6.96
Fred,6.95
Bruno Guimarães,7.29
Everton Ribeiro,7.1
Thiago Silva,7.25
Dani Alves,7.31
Éder Militão,7.09
Marquinhos,7.04
Alex Telles,6.88
Alex Sandro,6.89
Danilo,7.1
Bremer,7.05
Alisson,7.02
Ederson,6.88
Weverton,7.05
Breel Embolo,6.96
Haris Seferović,6.72
Noah Okafor,6.99
Xherdan Shaqiri,7.14
Granit Xhaka,6.93
Denis Zakaria,6.68
Remo Freuler,6.84
Djibril Sow,6.87
Ruben Vargas,6.57
Silvan Widmer,6.92
Fabian Rieder,7.31
Michel Aebischer,6.63
Christian Fassnacht,7.08
Renato Steffen,6.9
Edimilson Fernandes,6.94
Fabian Frei,7.01
Ardon Jashari,6.9
Manuel Akanji,6.89
Fabian Schär,7.02
Nico Elvedi,6.88
Ricardo Rodríguez,6.87
Eray Cömert,6.76
Yann Sommer,7.08
Gregor Kobel,6.93
Jonas Omlin,7.21
Philipp Köhn,6.94
Eric Maxim Choupo-Moting,7.08
Vincent Aboubakar,7.1
Bryan Mbeumo,6.92
Jean-Pierre Nsame,7.01
Christian Bassogog,6.87
Souaibou Marou,6.0
Frank Anguissa,7.04
Karl Toko Ekambi,7.01
Pierre Kunde,6.79
Nicolas Moumie Ngamaleu,6.87
Martin Hongla,6.69
Georges-Kévin N'Koudou,6.79
Olivier Ntcham,6.85
Samuel Oum Gouet,6.66
Gaël Ondoua,6.71
Jerome Mbekeli,6.0
Nicolas N'Koulou,6.97
Nouhou Tolo,6.89
Collins Fai,6.97
Jean-Charles Castelletto,6.8
Christopher Wooh,7.11
Enzo Ebosse,6.69
Olivier Mbaizo,6.85
André Onana,6.91
Simon Ngapandouetnbu,6.0
Devis Epassy,6.0
Dušan Vlahović,7.06
Luka Jović,6.84
Aleksandar Mitrović,7.39
Dušan Tadić,7.56
Sergej Milinković-Savić,7.21
Filip Kostić,7.14
Nemanja Radonjić,6.67
Marko Grujić,6.82
Andrija Živković,7.21
Saša Lukić,7.02
Ivan Ilić,6.79
Filip Đuričić,6.64
Nemanja Gudelj,6.88
Darko Lazović,6.91
Nemanja Maksimović,6.81
Uroš Račić,6.74
Filip Mladenović,7.22
Nikola Milenković,7.03
Strahinja Pavlović,7.05
Stefan Mitrović,6.7
Miloš Veljković,6.93
Strahinja Eraković,6.8
Srđan Babić,6.9
Predrag Rajković,7.08
Vanja Milinković-Savić,6.75
Marko Dmitrović,7.21
Cristiano Ronaldo,7.08
João Félix,7.09
André Silva,6.87
Gonçalo Ramos,7.0
Ricardo Horta,7.35
Bruno Fernandes,7.33
Bernardo Silva,7.07
Rafael Leão,7.14
Rúben Neves,7.08
Vitinha,7.09
Danilo Pereira,6.99
João Mário,7.19
Matheus Nunes,6.85
João Palhinha,6.94
William Carvalho,6.96
Otávio,7.43
João Cancelo,7.19
Rúben Dias,7.03
Diogo Dalot,7.16
Nuno Mendes,6.92
Pepe,6.96
Raphaël Guerreiro,7.04
António Silva,7.32
Rui Patrício,6.8
José Sá,6.97
Diogo Costa,6.97
Heung-min Son,7.43
Hee-Chan Hwang,6.7
Ui-Jo Hwang,6.65
Gue-sung Cho,7.27
Hyun-gyu Oh,6.91
Kang-in Lee,6.83
Woo-Yeong Jeong,6.69
In-Beom Hwang,6.96
Jae-Sung Lee,6.91
Seung-Ho Paik,7.22
Chang-Hoon Kwon,6.77
Min-kyu Song,6.82
Son Jun ho,7.64
Sang-Ho Na,6.9
Woo-Young Jung,6.0
Chul Hong,6.79
Min-jae Kim,7.12
Young-Gwon Kim,7.01
Moon-hwan Kim,6.92
Jin-su Kim,7.08
Tae-hwan Kim,6.95
Kyung-won Kwon,7.07
Jong-kyu Yun,6.64
Yu-min Jo,7.17
Hyeon-woo Jo,6.93
Seung-gyu Kim,7.06
Beom-keun Song,6.92
Luis Suárez,6.85
Darwin Núñez,7.22
Edinson Cavani,6.79
Maximiliano Gómez,6.7
Federico Valverde,7.17
Giorgian De Arrascaeta,7.35
Rodrigo Bentancur,7.15
Facundo Pellistri,6.59
Lucas Torreira,7.0
Matías Vecino,6.75
Nicolás de la Cruz,7.12
Manuel Ugarte,6.88
Facundo Torres,7.16
Agustín Canobbio,6.7
Ronald Araújo,7.03
José María Giménez,6.94
Diego Godín,6.91
Matías Viña,6.68
Sebastián Coates,6.93
Mathías Olivera,6.98
Martín Cáceres,6.58
Guillermo Varela,6.73
José Luis Rodríguez,6.0
Fernando Muslera,7.22
Sergio Rochet,7.27
Sebastián Sosa,6.8
André Ayew,6.0
Jordan Ayew,6.79
Iñaki Williams,6.88
Kamal Sowah,6.71
Antoine Semenyo,6.97
Thomas Partey,7.03
Mohammed Kudus,6.91
Abdul Fatawu Issahaku,6.0
Daniel-Kofi Kyereh,6.87
Kamaldeen Sulemana,6.61
Osman Bukari,6.65
Daniel Afriyie,6.0
Salis Abdul Samed,6.74
Elisha Owusu,6.72
Tariq Lamptey,6.73
Mohammed Salisu,6.9
Daniel Amartey,6.89
Alexander Djiku,7.01
Abdul Baba Rahman,6.69
Denis Odoi,6.95
Joseph Aidoo,6.82
Gideon Mensah,6.71
Alidu Seidu,6.72
Abdul Manaf Nurudeen,6.56
Lawrence Ati,7.05
Ibrahim Danlad,6.0
Mehdi Taremi,7.5
Sardar Azmoun,6.79
Karim Ansarifard,6.0
Alireza Jahanbakhsh,7.05
Saman Ghoddos,6.7
Ali Gholizadeh,6.82
Saeid Ezatolahi,6.55
Ahmad Nourollahi,6.67
Mehdi Torabi,6.0
Ali Karimi,6.0
Sadegh Moharrami,6.89
Milad Mohammadi,6.83
Majid Hosseini,6.96
Ramin Rezaeian,6.0
Shoja Khalilzadeh,6.0
Vahid Amiri,6.0
Ehsan Haji Safi,6.0
Morteza Pouraliganji,6.0
Hossein Kanaani,6.0
Roozbeh Cheshmi,6.0
Abolfazl Jalali,6.0
Alireza Beiranvand,6.0
Amir Abedzadeh,6.78
Payam Niazmand,6.0
Seyed Hossein Hosseini,6.0
Hasan Al-Haydos,6.0
Cavani,6.79
Moumi Ngamaleu,6.87
Jae Sung Lee,6.91
Fede Valverde,7.17
Vinícius Jr,7.17
Mason Mount,7.27
James Maddison,7.46
Richarlison,7.10
Alisson,7.02
Rodrigo de Paul,7.10
Bentancur,7.15
Ederson,6.88
Edson Álvarez,7.07
Guido Rodríguez,7.17
Callum Wilson,6.92
José Giménez,6.94
Henderson,6.98
Zambo Anguissa,7.04
Brenden Aaronson,6.72
Danilo,7.10
Victor Nelsson,6.87
Walker Zimmerman,7.10
Widmer Silvan,6.92
Carlos Rodriguez,6.95
Ben White,6.95
Brennan Johnson,7.00
Ricardo Rodríguez,6.87
Wout Faes,7.05
Harry Wilson,7.16
Kamaldeen Sulemana,6.61
Maxi Gómez,6.70
Hee Chan Hwang,6.70
Irvine,7.00
Jackson Porozo,6.97
Joe Scally,6.63
Antonee Robinson,6.92
Alfred Gomis,6.47
Nicolas Jackson,6.72
Ez Abde,6.83
Filip Djuricic,6.64
Frederik Ronnow,6.94
Kanal Sowah,6.71
Mark-Anthony Kaye,6.80
Pathé Ciss,6.81
Vanja Milinković,6.75
Abdulaziz Hatem,6.00
Alfredo Talavera,6.97
Anis Slimane,6.78
Atiba Hutchinson,6.76
Bryan Oviedo,6.85
Cammy Devlin,6.86
Derek Cornelius,6.00
Edimilson Fernandes,6.94
Gerson Torres,6.00
Ghailene Chaalali,7.22
Hong Chul,6.79
José Luis Rodríguez,6.00
Jhegson Méndez,6.71
Jun-ho Son,7.64
Munir,6.92
Nathaniel Atkinson,6.64
Oliver Christensen,6.81
Sean Johnson,6.91
Ali Al-Bulaihi,6.88
Bum-keun Song,6.92
Harry Scouttar,6.50
Hyun-Woo Cho,6.93
Min-kyu Song,6.82
Pedro Miguel,6.00
Seung Gyu Kim,7.06
Abdulelah Al-Malki,6.00
Abdulrahman Al-Obood,6.00
Abdul Nurudeen,6.56
Ahmed Tagnaouti,6.90
Ali Asad,6.00
Aymen Balbouli,6.50
Haitham Asiri,6.89
Hassan Tambakti,7.10
Ismaeel Mohammed,6.00
Issahaku Fatawu,6.00
Jewison Bennette,6.75
Jason Cummings,7.06
Jassim Jabir,6.00
Jong-gyu Yoon,6.00
Khalid Mazeed,6.00
Kevin Rodríguez,6.50
Mohammed Al-Rubaie,6.00
Matt Smith,7.07
Meshaal Barsham,6.00
Mohammed Waad,6.00
Musaab Khidir,6.00
Mustafa Mashaal,6.00
Naif Al-Hadhrami,6.00
Nawaf Al-Aqidi,6.50
Riad Sharahili,6.70
Roan Wilson,6.00
Saad Al-Sheeb,6.00
Taha Khenissi,6.00
Yahia Attiat-Allah,6.96
Yu-min Cho,7.17
