"Real Madrid","Real Madrid"
"Atlético de Madrid","Atlético de Madrid"
"Barcelona","FC Barcelona"
"Real Sociedad","Real Sociedad"
"Girona","Girona FC"
"Athletic","Athletic Bilbao"
"Betis","Real Betis Balompié"
"Villarreal","Villarreal CF"
"Valencia","Valencia CF"
"Sevilla","Sevilla FC"
"Getafe","Getafe CF"
"Osasuna","CA Osasuna"
"Las Palmas","UD Las Palmas"
"Celta","Celta de Vigo"
"Rayo Vallecano","Rayo Vallecano"
"Mallorca","RCD Mallorca"
"Alavés","Deportivo Alavés"
"Cádiz","Cádiz CF"
"Granada","Granada CF"
"Almería","UD Almería"
"Leganés","CD Leganés"
"Espanyol","RCD Espanyol Barcelona"
"Real Valladolid","Real Valladolid CF"