Alavés,"{'Antonio Sivera': '8768408', 'Luka Romero': '851587', 'Aleksandar Sedlar': '7000000', 'Jesus Owono': '1500000', 'Ander Sanchez': '600000', 'Gaizka Garcia': '400000', 'Adrian Rodriguez': '400000', 'Tomas Mendes': '500000', 'Carlos Vicente': '15000000', 'Joaquin Panichelli': '700000', 'Nikola Maras': '492132', 'Asier Villalibre': '2826491', 'Manu Sanchez': '3090793', 'Abde Rebbach': '1475728', 'Abdel Abqar': '4069909', 'Jon Guridi': '7156024', 'Nahuel Tenaglia': '4018752', 'Luis Rioja': '13483242', 'Ander Guevara': '5404222', 'Antonio Blanco': '6062433', 'Kike Garcia': '4159657', 'Carlos Benavidez': '4326288'}"
Athletic,"{'Iñaki Williams': '69772473', 'Oihan Sancet': '43147939', 'Gorka Guruzeta': '47007809', 'Dani Vivian': '37929908', 'Nico Williams': '105344938', 'Iñigo Ruiz De Galarreta': '15150150', 'Aitor Paredes': '14215557', 'Mikel Vesga': '6000000', 'Alex Berenguer': '13000000', 'Yuri Berchiche': '17000000', 'Oscar De Marcos': '15000000', 'Ander Herrera': '3000000', 'Unai Gomez': '5000000', 'Unai Egiluz': '1000000', 'Yeray Alvarez': '7523666', 'Beñat Prados': '4860222', 'Malcom Adu Ares': '892367', 'Julen Agirrezabala': '3053065', 'Iñigo Lekue': '2807972', 'Andoni Gorosabel': '11460726', 'Javier Marton': '2895802', 'Nico Serrano': '3869089', 'Alvaro Djalo': '13331432', 'Unai Simon': '28040604'}"
Atlético,"{'Robin Le Normand': '49380295', 'Jan Oblak': '45403229', 'Samuel Lino': '37194352', 'Antoine Griezmann': '83087574', 'Rodrigo De Paul': '31042162', 'Ilias Kostis': '1501194', 'Antonio Gomis': '1517193', 'Cesar Azpilicueta': '1538027', 'Samuel Omorodion': '20000000', 'Selu Diallo': '1000000', 'Giuliano Simeone': '1500000', 'Horatiu Moldovan': '1006893', 'Joao Felix': '17399429', 'Axel Witsel': '17900962', 'Santiago Mouriño': '1939157', 'Thomas Lemar': '3421919', 'Jose Maria Gimenez': '10633166', 'Arthur Vermeeren': '3708444', 'Nahuel Molina': '9385582', 'Angel Correa': '9763362', 'Rodrigo Riquelme': '8994204', 'Marcos Llorente': '19572245', 'Koke Resurreccion': '15487292', 'Reinildo Mandava': '7766323', 'Pablo Barrios': '8994444', 'Javi Galan': '7255865'}"
Barcelona,"{'Lamine Yamal': '106727655', 'Pau Cubarsi': '46535193', 'Alejandro Balde': '38273703', 'Marc-Andre Ter Stegen': '60214882', 'Robert Lewandowski': '75193756', 'Marc Casado': '1501194', 'Hector Fort': '1516385', 'Ander Astralaga': '1517543', 'Diego Kochen': '1528634', 'Iñigo Martinez': '1778452', 'Pablo Torre': '5000000', 'Eric Garcia': '25000000', 'Julian Araujo': '3500000', 'Vitor Roque': '1925455', 'Fermin Lopez': '5340716', 'Iñaki Peña': '2290918', 'Oriol Romeu': '2558407', 'Andreas Christensen': '17099656', 'Raphinha': '29647709', 'Ronald Araujo': '31677375', 'Ferran Torres': '10344872', 'Jules Kounde': '42655053', 'Ilkay Gundogan': '53696232', 'Pablo Gavi': '20116046', 'Frenkie De Jong': '22356097', 'Pedri Gonzalez': '35657906'}"
Betis,"{'Ayoze Perez': '33737551', 'Rui Silva': '17930951', 'German Pezzella': '20871166', 'Nabil Fekir': '17385103', 'Juanmi Jimenez': '1042710', 'Marc Bartra': '15000000', 'Marc Roca': '12500000', 'Isco': '60000000', 'Sergi Altimira': '2500000', 'Guilherme Fernandes': '300000', 'Francisco Vieites': '300000', 'Chimy Avila': '11000000', 'Assane Diao': '7500000', 'Johnny Cardoso': '10000000', 'Cedric Bakambu': '8000000', 'Pablo Fornals': '25500000', 'Ez Abde': '3451990', 'Aitor Ruibal': '2689801', 'Rodri Sanchez': '3523905', 'Carvalho': '3866133', 'Youssouf Sabaly': '4807033', 'Hector Bellerin': '6066375'}"
Celta,"{'Iago Aspas': '34686939', 'Unai Nuñez': '8000000', 'Carlos Dominguez': '2500000', 'Hugo Sotelo': '3500000', 'Coke Carrillo': '300000', 'Ivan Garri': '300000', 'Borja Iglesias': '674069', 'Mihailo Ristic': '524282', 'Jailson': '1102564', 'Javier Manquillo': '1108288', 'Anastasios Douvikas': '5942516', 'Tadeo Allende': '982653', 'Kevin Vazquez': '988895', 'Ivan Villar': '1889353', 'Vicente Guaita': '6642709', 'Oscar Mingueza': '9082780', 'Joseph Aidoo': '2985495', 'Luca De La Torre': '1936155', 'Carl Starfelt': '4061913', 'Franco Cervi': '1978746', 'Williot Swedberg': '2895820', 'Fran Beltran': '5544349', 'Jonathan Bamba': '9714486'}"
Espanyol,"{'Javi Puado': '13124316', 'Joan Garcia': '2583255', 'Jose Gragera': '511017', 'Kenneth Soler': '100000', 'Antoniu Roca': '300000', 'Gaston Valles': '300000', 'Omar Sadik': '300000', 'Rafel Bauza': '300000', 'Jose Luis Catala': '300000', 'Llorenç Serred': '1500000', 'Ian Forns': '500000', 'Angel Gomez': '300000', 'Joan Puig': '1000000', 'Angel Fortuño': '1500000', 'Roger Martinez': '500000', 'Jose Carlos Lazo': '821794', 'Alvaro Aguado': '2941415', 'Jofre Carreras': '2371545', 'Salvi Sanchez': '1559434', 'Omar El Hilali': '3909783', 'Edu Exposito': '2192747', 'Leandro Cabrera': '4561251', 'Pol Lozano': '2241862', 'Fernando Calero': '3096546', 'Pere Milla': '4431804', 'Sergi Gomez': '2793268', 'Fernando Pacheco': '4577471', 'Brian Olivan': '3148831', 'Carlos Romero': '3480432', 'Alvaro Tejero': '3785591'}"
Getafe,"{'David Soria': '21536617', 'Luis Milla': '4221343', 'Alex Sola': '6000000', 'Gaston Alvarez': '5000000', 'Diego Rico': '9500000', 'Gorka Rivera': '300000', 'Peter Gonzalez': '5000000', 'Jordi Martin': '100000', 'Yellu Santiago': '1829613', 'Fabrizio Angileri': '939685', 'Carles Perez': '3574949', 'Domingos Duarte': '1190782', 'Juan Iglesias': '1392187', 'Carles Aleña': '1675699', 'Omar Alderete': '3490743', 'Mauro Arambarri': '2455938', 'Dakonam Djene': '8098731', 'Borja Mayoral': '27838276'}"
Girona,"{'Viktor Tsygankov': '45393854', 'Paulo Gazzaniga': '34094807', 'Arnau Martinez': '5733723', 'Juan Carlos Martin': '4000000', 'David Lopez': '20000000', 'Juanpe Ramirez': '6000000', 'Iker Almena': '300000', 'Silvi Clua': '300000', 'Ricard Artero': '1500000', 'Jhon Solis': '682009', 'Cristian Portu': '4756082', 'Valery Fernandez': '1753268', 'Toni Villa': '1935749', 'Christian Stuani': '4106073', 'Ivan Martin': '22847641', 'Miguel Gutierrez': '35655342', 'Daley Blind': '22410456', 'Yangel Herrera': '25601641', 'Artem Dovbyk': '67322767'}"
Las Palmas,"{'Alvaro Valles': '24171765', 'Alberto Moleiro': '13965056', 'Mika Marmol': '11790359', 'Jaime Mata': '1520926', 'Marvin Park': '2000000', 'Alex Suarez': '7000000', 'Juanma Herzog': '2000000', 'Ivan Cedric': '2000000', 'Benito Ramirez': '638572', 'Adnan Januzaj': '2401388', 'Daley Sinkgraven': '964930', 'Sory Kaba': '996127', 'Jose Campaña': '1565035', 'Fabio': '1317394', 'Pejiño': '1930389', 'Sandro Ramirez': '3672055', 'Javi Muñoz': '4325504', 'Fuster': '6174307', 'Marc Cardona': '3714285', 'Enzo Loiodice': '5033593', 'Kirian Rodriguez': '22548421'}"
Leganés,"{'Juan Cruz': '490575', 'Darko Brasanac': '492006', 'Luis Perea': '554004', 'Julian Chicco': '992632', 'Aritz Aranbarri': '1024307', 'Yvan Neyou': '2377200', 'Juan Soriano': '5144023', 'Sergio Gonzalez': '4012765', 'Jorge Saenz': '3135120', 'Miguel De La Fuente': '6364147', 'Diego Garcia': '3483644', 'Daniel Raba': '5022087', 'Javi Hernandez': '4983327', 'Valentin Rosier': '5923553'}"
Mallorca,"{'Sergi Darder': '14056485', 'Antonio Raillo': '7415776', 'Martin Valjent': '3619477', 'Vedat Muriqi': '18840725', 'Ivan Cuellar': '1000000', 'Daniel Luna': '300000', 'Johan Mojica': '10000000', 'Javi Llabres': '563431', 'Dominik Greif': '941664', 'Samu Costa': '3481647', 'Siebe Van Der Heyden': '785084', 'Predrag Rajkovic': '10362022', 'Pablo Maffeo': '4220242', 'Antonio Lato': '1875270', 'Jose Manuel Copete': '2215037', 'Dani Rodriguez': '5391877', 'Omar Mascarell': '1857125', 'Cyle Larin': '2701898', 'Manuel Morlanes': '2008100', 'Abdon Prats': '2489516', 'Antonio Sanchez': '2680884', 'Giovanni Gonzalez': '2920368'}"
Osasuna,"{'Ante Budimir': '33520408', 'Sergio Herrera': '13711532', 'Nacho Vidal': '2000000', 'Ruben Garcia': '11000000', 'Pablo Ibañez': '6000000', 'Jorge Herrando': '8500000', 'Iker Muñoz': '6000000', 'Dimitrios Stamatakis': '300000', 'Pablo Valencia': '500000', 'Jesus Areso': '4401851', 'Unai Garcia': '1496648', 'Aitor Fernandez': '2455210', 'Jose Arnaiz': '1691076', 'Juan Cruz': '2180271', 'Kike Barja': '1811795', 'Lucas Torro': '3722406', 'Ruben Peña': '3813625', 'Alejandro Catena': '7846592', 'Aimar Oroz': '9998339', 'Jon Moncayola': '5762132', 'Raul Garcia': '3976682', 'Moi Gomez': '7939961'}"
Rayo,"{'Isi Palazon': '21368510', 'Gerard Gumbau': '779574', 'Alvaro Garcia': '8557157', 'Adrian Embarba': '815936', 'Dani Cardenas': '1222252', 'Martin Pascual': '303432', 'Unai Lopez': '6000000', 'Sergio Camello': '9500000', 'Diego Mendez': '300000', 'Abdul Mumin': '2225470', 'Andrei Ratiu': '582082', 'Pep Chavarria': '684299', 'Florian Lejeune': '11203819', 'Oscar Valentin': '3401757', 'Aridane Hernandez': '2251999', 'Ivan Balliu': '3842933', 'Raul De Tomas': '2689854', 'Bebe': '1845119', 'Pathe Ciss': '2162276', 'Pacha Espino': '3473254', 'Randy Nteka': '2132596', 'Jorge De Frutos': '2816513', 'Oscar Trejo': '3844364'}"
Real Madrid,"{'Ferland Mendy': '40556149', 'Vinicius Junior': '118405811', 'Rodrygo Goes': '63985859', 'Federico Valverde': '69436360', 'Eder Militao': '56237806', 'Antonio Rudiger': '58378428', 'Thibaut Courtois': '71122897', 'Jude Bellingham': '114816098', 'Daniel Carvajal': '67244509', 'Jesus Vallejo': '887126', 'Kylian Mbappe': '82143407', 'Juan Miguel Latasa': '6500000', 'Lucas Cañizares': '500000', 'Nico Paz': '2000000', 'Diego Piñeiro': '300000', 'Dani Ceballos': '2779518', 'Fran Garcia': '3618109', 'Eduardo Camavinga': '47997258', 'Arda Guler': '18113591', 'Andriy Lunin': '5800234', 'Aurelien Tchouameni': '43940114', 'Luka Modric': '13427141', 'David Alaba': '12791247', 'Lucas Vazquez': '14464587', 'Brahim Diaz': '26510245'}"
Real Sociedad,"{'Martin Zubimendi': '49087276', 'Mikel Oyarzabal': '45706850', 'Brais Mendez': '42904475', 'Alex Remiro': '43325336', 'Igor Zubeldia': '17536309', 'Ander Barrenetxea': '13676264', 'Robert Navarro': '866873', 'Javi Lopez': '7000000', 'Pablo Marin': '3000000', 'Aitor Fraga': '500000', 'Jon Pacheco': '6228249', 'Unai Marrero': '811715', 'Urko Gonzalez De Zarate': '1259741', 'Carlos Fernandez': '1281149', 'Jon Ander Olasagasti': '1495581', 'Alvaro Odriozola': '2643086', 'Aritz Elustondo': '3089656', 'Umar Sadiq': '3972601', 'Hamari Traore': '12892872', 'Aihen Muñoz': '2798116', 'Beñat Turrientes': '4088196', 'Arsen Zakharyan': '6590363', 'Sheraldo Becker': '11657842', 'Takefusa Kubo': '59467641', 'Mikel Merino': '48500189'}"
Sevilla,"{'Isaac Romero': '22119749', 'Lucas Ocampos': '7730705', 'Saul Ñiguez': '7085671', 'Loic Bade': '10750515', 'Örjan Nyland': '8847727', 'Oscar Rodriguez': '5500000', 'Jose Angel Carmona': '2500000', 'Juanlu Sanchez': '2500000', 'Manu Bueno': '800000', 'Matias Arbol': '300000', 'Joan Jordan': '515409', 'Dodi Lukebakio': '3390882', 'Marcao': '1068144', 'Kike Salas': '5026133', 'Suso Fernandez': '2548746', 'Tanguy Nianzou': '2221276', 'Nemanja Gudelj': '3387016', 'Adria Pedrosa': '3055013', 'Marko Dmitrovic': '2852387', 'Djibril Sow': '4528020', 'Marcos Acuña': '4199818', 'Jesus Navas': '5030125', 'Albert Sambi Lokonga': '17811870'}"
Valencia,"{'Pepelu': '46940829', 'Hugo Duro': '39694369', 'Christian Mosquera': '21965147', 'Diego Lopez': '12137936', 'Rafa Mir': '3947104', 'Javi Guerra': '14994263', 'Stole Dimitrievski': '12250000', 'Martin Tejon': '300000', 'Mario Dominguez': '500000', 'Hugo Gonzalez': '700000', 'Cesar Tarrega': '3000000', 'Ruben Iranzo': '300000', 'Yarek Gasiorowski': '4500000', 'Alberto Mari': '790154', 'Giorgi Mamardashvili': '32663776', 'Jaume Domenech': '1636865', 'Dimitri Foulquier': '3405950', 'Fran Perez': '4739301', 'Jesus Vazquez': '3493692', 'Mouctar Diakhaby': '2735425', 'Sergi Canos': '4916730', 'Cenk Özkacar': '4057007', 'Hugo Guillamon': '5039652', 'Thierry Correia': '8716700', 'Andre Almeida': '8911576', 'Jose Gaya': '10237717'}"
Valladolid,"{'Darwin Machis': '763207', 'Amath Ndiaye': '5000000', 'Kike Perez': '4500000', 'Selim Amallah': '5000000', 'Mamadou Sylla': '7000000', 'Victor Meseguer': '7500000', 'Ivan Sanchez': '6000000', 'Stipe Biuk': '750000', 'Stanko Juric': '3500000', 'Raul Moro': '8000000', 'Manuel Pozo': '300000', 'Adrian Arnu': '2500000', 'Eugene Frimpong': '100000', 'Arnau Rafus': '250000', 'Israel Salazar': '1000000', 'Andre Ferreira': '606773', 'Cesar De La Hoz': '496652', 'Anuar Mohamed': '906585', 'Javi Sanchez': '1232558', 'Kenedy': '1340215', 'David Torres': '1404262', 'Marcos Andre': '1509224', 'Boyomo': '3006317', 'Luis Perez': '3715560'}"
Villarreal,"{'Alexander Sorloth': '66728573', 'Gerard Moreno': '44907216', 'Yeremi Pino': '17465281', 'Juan Foyth': '13252770', 'Sergi Cardona': '8000000', 'Ilias Akhomach': '7000000', 'Adria Altimira': '3500000', 'Manu Trigueros': '1259587', 'Alex Baena': '41641768', 'Ramon Terrats': '2123017', 'Diego Conde': '4658953', 'Denis Suarez': '2773493', 'Jorge Cuenca': '3574802', 'Eric Bailly': '8344150', 'Santi Comesaña': '6147541', 'Kiko Femenia': '3247014', 'Raul Albiol': '6987213', 'Alfonso Pedraza': '6961157', 'Dani Parejo': '19237758'}"
